a004ff4a2002ad51cdc8aeaa87cc251f199c2918e48d526e5062c24395a1b722c58a2d8e1f629e7579ad88291f6354f2b217f811b53467602853e015e25f33f2,Chrome|Opera,4/22/2016,14:33:50,Eastern Daylight Time,8,"[N/A, 28cb66efd749603394b1017f2c766b5d322478ea0bd0b0b98f8130fdff771481754236aea5be5e38bf15ca67655cfa6022cd6b195b194f3d3840affd76bd62bb, 3f2439eecffaf44ebdb23442b55fb375e791afc4c3297141b95626687d7a47d8f73b87e206c9147c31680dcbb6e3e8124e578c88ce31d88c46565c297a7d4cf2, N/A]","[N/A, 28cb66efd749603394b1017f2c766b5d322478ea0bd0b0b98f8130fdff771481754236aea5be5e38bf15ca67655cfa6022cd6b195b194f3d3840affd76bd62bb, 3f2439eecffaf44ebdb23442b55fb375e791afc4c3297141b95626687d7a47d8f73b87e206c9147c31680dcbb6e3e8124e578c88ce31d88c46565c297a7d4cf2, 237916eb3ac0772e8e9ab8c7f6025911c687ed82624f8eade60c442372af81b1334ffac2c6e8910a8f60e896d0451c6010438005d88208a5103aec4c36565518]",b9d27106643abebfa52760c36412e5f06a8d3fd5e464068fcf183dec7a70b1d50028ddeeb4040594304edde145f7c4d222108940b08e46f26baffe2e2254bcf5,"[moatads.com, disqus.com, googletagservices.com, youtube.com, scorecardresearch.com, nytcn.me, mathjax.org, lijit.com, cloudflare.com, chartbeat.net, optimizely.com, celtra.com, adadvisor.net, doubleclick.net, keywee.co, tidaltv.com, googletagmanager.com, propgoservice.com, fonts.googleapis.com, brealtime.com, googlesyndication.com, d3lar09xbwlsge.cloudfront.net, ixiaa.com, facebook.com, amazon-adsystem.com, imrworldwide.com, voicefive.com, adnxs.com, nr-data.net, media.net, dynamicyield.com, openx.net, serving-sys.com, vimeo.com, neutrinomediagroup.com, atdmt.com, edgekey.net, dc8xl0ndzn2cb.cloudfront.net, krxd.net, clicktale.net, facebook.net, d1f1eryiqyjs0r.cloudfront.net, iasds01.com, nyt.com, newrelic.com, mathtag.com, documentcloud.org, adsafeprotected.com, d2yvfuw6x7g4c0.cloudfront.net, us-east-1.elb.amazonaws.com, adobe.com, criteo.com, moatpixel.com, smartadserver.com, akamai.net, nytlog.com, visualdna.com, tagsrvcs.com, jquery.com, d3q1qj9jzsu8nw.cloudfront.net, google-analytics.com, kargo.com, google.com, adsrvr.org]"
6b84a442715b5ee23398fe715a2e222106e84e62b48356f4806361cc7f9548efb8a7b41b6a6c85c73b7a98e43682d70b54992c7509ed02923fe9075242f28581,Chrome|Opera,4/24/2016,23:08:10,Eastern Daylight Time,43,N/A,"[N/A, e28b1843c837e5093267d32d05da4dfff819f5c5554a1695e40671f221de53ed9d487ddc736f78e1e342fe102507fb809f78c9f8f8221e5411623a16e1463cc5, 3f2439eecffaf44ebdb23442b55fb375e791afc4c3297141b95626687d7a47d8f73b87e206c9147c31680dcbb6e3e8124e578c88ce31d88c46565c297a7d4cf2, af1e369fa657d7cc9f2d45b3e18d6a55cbdf6ab823fcae9b9b0de708aa06d43f416344ac2210e8de2f4e0ca6055ffb489c7639566f1d545220ee33ceb0c077d7]",cd79e9b290ff1250941e7efa4e550c1613939c7eef6ab0f6c486d22a79394fb1f269992aa579bcf707c5d0dd8dfba58bece815d08b643f2f1cd1105bf9fa43ec,"[sitescout.com, doubleclick.net, typography.com, googletagmanager.com, google.com, nflximg.com, googleusercontent.com, linkedin.com, pixel.ad, facebook.net, facebook.com, google-analytics.com, d2ygrtdi28m8fp.cloudfront.net, optimizely.com]"
d7a3ad8b80d3d05253a4a22c97e508c08899c6bfe21e2efbeb8d9daaeebac7474082699ff74b5bf24ebd227858b90a8b769db89c2669d31ae5c92e31515c6104,Chrome|Opera,4/26/2016,0:30:45,Eastern Daylight Time,2,N/A,"[8232044b260bbbf74dfe24210a400c1a6bcb46efc8c562bb0a40c869d131380cdced954a51a01dbdce28c76c8a345cd7759f912ce469f0b0c97b6ac6d6cdc856, f9bfec6d1d3cf5866e2724a48a08a6f75471f7e7c5919d0e505af8f297831c591b34fb49211ca5f6ee62ffe1a5ccd5ef68b05645e6bb61a6102edd7c2bd85756, 3f2439eecffaf44ebdb23442b55fb375e791afc4c3297141b95626687d7a47d8f73b87e206c9147c31680dcbb6e3e8124e578c88ce31d88c46565c297a7d4cf2, N/A]",429c5a68a28cf975ebe746881bd3e59ce7f3d22d905e4ccdc6e3094b0ed0214edd88db060743a77dc1c54329530c348507063264e966042e01a3750ca9765c13,"[stgbssint.com]"
d7a3ad8b80d3d05253a4a22c97e508c08899c6bfe21e2efbeb8d9daaeebac7474082699ff74b5bf24ebd227858b90a8b769db89c2669d31ae5c92e31515c6104,Chrome|Opera,4/26/2016,0:30:49,Eastern Daylight Time,2,N/A,"[N/A, e28b1843c837e5093267d32d05da4dfff819f5c5554a1695e40671f221de53ed9d487ddc736f78e1e342fe102507fb809f78c9f8f8221e5411623a16e1463cc5, 3f2439eecffaf44ebdb23442b55fb375e791afc4c3297141b95626687d7a47d8f73b87e206c9147c31680dcbb6e3e8124e578c88ce31d88c46565c297a7d4cf2, af1e369fa657d7cc9f2d45b3e18d6a55cbdf6ab823fcae9b9b0de708aa06d43f416344ac2210e8de2f4e0ca6055ffb489c7639566f1d545220ee33ceb0c077d7]",cd79e9b290ff1250941e7efa4e550c1613939c7eef6ab0f6c486d22a79394fb1f269992aa579bcf707c5d0dd8dfba58bece815d08b643f2f1cd1105bf9fa43ec,"[sitescout.com, doubleclick.net, typography.com, googletagmanager.com, google.com, nflximg.com, googleusercontent.com, linkedin.com, pixel.ad, facebook.net, facebook.com, google-analytics.com, d2ygrtdi28m8fp.cloudfront.net, optimizely.com]"
d7a3ad8b80d3d05253a4a22c97e508c08899c6bfe21e2efbeb8d9daaeebac7474082699ff74b5bf24ebd227858b90a8b769db89c2669d31ae5c92e31515c6104,Chrome|Opera,4/26/2016,23:44:53,Eastern Daylight Time,2,N/A,"[8232044b260bbbf74dfe24210a400c1a6bcb46efc8c562bb0a40c869d131380cdced954a51a01dbdce28c76c8a345cd7759f912ce469f0b0c97b6ac6d6cdc856, f9bfec6d1d3cf5866e2724a48a08a6f75471f7e7c5919d0e505af8f297831c591b34fb49211ca5f6ee62ffe1a5ccd5ef68b05645e6bb61a6102edd7c2bd85756, 3f2439eecffaf44ebdb23442b55fb375e791afc4c3297141b95626687d7a47d8f73b87e206c9147c31680dcbb6e3e8124e578c88ce31d88c46565c297a7d4cf2, N/A]",429c5a68a28cf975ebe746881bd3e59ce7f3d22d905e4ccdc6e3094b0ed0214edd88db060743a77dc1c54329530c348507063264e966042e01a3750ca9765c13,"[stgbssint.com]"
d7a3ad8b80d3d05253a4a22c97e508c08899c6bfe21e2efbeb8d9daaeebac7474082699ff74b5bf24ebd227858b90a8b769db89c2669d31ae5c92e31515c6104,Chrome|Opera,4/26/2016,23:45:03,Eastern Daylight Time,2,N/A,"[N/A, e28b1843c837e5093267d32d05da4dfff819f5c5554a1695e40671f221de53ed9d487ddc736f78e1e342fe102507fb809f78c9f8f8221e5411623a16e1463cc5, 3f2439eecffaf44ebdb23442b55fb375e791afc4c3297141b95626687d7a47d8f73b87e206c9147c31680dcbb6e3e8124e578c88ce31d88c46565c297a7d4cf2, af1e369fa657d7cc9f2d45b3e18d6a55cbdf6ab823fcae9b9b0de708aa06d43f416344ac2210e8de2f4e0ca6055ffb489c7639566f1d545220ee33ceb0c077d7]",cd79e9b290ff1250941e7efa4e550c1613939c7eef6ab0f6c486d22a79394fb1f269992aa579bcf707c5d0dd8dfba58bece815d08b643f2f1cd1105bf9fa43ec,"[sitescout.com, doubleclick.net, typography.com, googletagmanager.com, google.com, nflximg.com, googleusercontent.com, linkedin.com, pixel.ad, facebook.net, facebook.com, google-analytics.com, d2ygrtdi28m8fp.cloudfront.net, optimizely.com]"
d7a3ad8b80d3d05253a4a22c97e508c08899c6bfe21e2efbeb8d9daaeebac7474082699ff74b5bf24ebd227858b90a8b769db89c2669d31ae5c92e31515c6104,Chrome|Opera,4/26/2016,23:47:56,Eastern Daylight Time,2,N/A,"[N/A, e28b1843c837e5093267d32d05da4dfff819f5c5554a1695e40671f221de53ed9d487ddc736f78e1e342fe102507fb809f78c9f8f8221e5411623a16e1463cc5, 3f2439eecffaf44ebdb23442b55fb375e791afc4c3297141b95626687d7a47d8f73b87e206c9147c31680dcbb6e3e8124e578c88ce31d88c46565c297a7d4cf2, a5129fb212f7c0cea8548f2c83540ffbb447809a4d566060d99603cb9b16847b6477c7e2d595aac0122478ba2c5321bad6c0ccf11d2f78f3febb0b2831767e83]",cd79e9b290ff1250941e7efa4e550c1613939c7eef6ab0f6c486d22a79394fb1f269992aa579bcf707c5d0dd8dfba58bece815d08b643f2f1cd1105bf9fa43ec,"[sitescout.com, doubleclick.net, typography.com, googletagmanager.com, google.com, nflximg.com, googleusercontent.com, linkedin.com, pixel.ad, facebook.net, facebook.com, google-analytics.com, d2ygrtdi28m8fp.cloudfront.net, optimizely.com]"
d7a3ad8b80d3d05253a4a22c97e508c08899c6bfe21e2efbeb8d9daaeebac7474082699ff74b5bf24ebd227858b90a8b769db89c2669d31ae5c92e31515c6104,Chrome|Opera,4/26/2016,23:57:06,Eastern Daylight Time,7,N/A,"[N/A, e28b1843c837e5093267d32d05da4dfff819f5c5554a1695e40671f221de53ed9d487ddc736f78e1e342fe102507fb809f78c9f8f8221e5411623a16e1463cc5, 3f2439eecffaf44ebdb23442b55fb375e791afc4c3297141b95626687d7a47d8f73b87e206c9147c31680dcbb6e3e8124e578c88ce31d88c46565c297a7d4cf2, af1e369fa657d7cc9f2d45b3e18d6a55cbdf6ab823fcae9b9b0de708aa06d43f416344ac2210e8de2f4e0ca6055ffb489c7639566f1d545220ee33ceb0c077d7]",cd79e9b290ff1250941e7efa4e550c1613939c7eef6ab0f6c486d22a79394fb1f269992aa579bcf707c5d0dd8dfba58bece815d08b643f2f1cd1105bf9fa43ec,"[sitescout.com, doubleclick.net, typography.com, googletagmanager.com, google.com, nflximg.com, googleusercontent.com, linkedin.com, pixel.ad, facebook.net, facebook.com, google-analytics.com, d2ygrtdi28m8fp.cloudfront.net, optimizely.com]"
d7a3ad8b80d3d05253a4a22c97e508c08899c6bfe21e2efbeb8d9daaeebac7474082699ff74b5bf24ebd227858b90a8b769db89c2669d31ae5c92e31515c6104,Chrome|Opera,4/27/2016,14:39:09,Eastern Daylight Time,2,N/A,"[8232044b260bbbf74dfe24210a400c1a6bcb46efc8c562bb0a40c869d131380cdced954a51a01dbdce28c76c8a345cd7759f912ce469f0b0c97b6ac6d6cdc856, f9bfec6d1d3cf5866e2724a48a08a6f75471f7e7c5919d0e505af8f297831c591b34fb49211ca5f6ee62ffe1a5ccd5ef68b05645e6bb61a6102edd7c2bd85756, 3f2439eecffaf44ebdb23442b55fb375e791afc4c3297141b95626687d7a47d8f73b87e206c9147c31680dcbb6e3e8124e578c88ce31d88c46565c297a7d4cf2, N/A]",429c5a68a28cf975ebe746881bd3e59ce7f3d22d905e4ccdc6e3094b0ed0214edd88db060743a77dc1c54329530c348507063264e966042e01a3750ca9765c13,"[stgbssint.com]"
d7a3ad8b80d3d05253a4a22c97e508c08899c6bfe21e2efbeb8d9daaeebac7474082699ff74b5bf24ebd227858b90a8b769db89c2669d31ae5c92e31515c6104,Chrome|Opera,4/27/2016,14:39:13,Eastern Daylight Time,4,N/A,"[N/A, e28b1843c837e5093267d32d05da4dfff819f5c5554a1695e40671f221de53ed9d487ddc736f78e1e342fe102507fb809f78c9f8f8221e5411623a16e1463cc5, 3f2439eecffaf44ebdb23442b55fb375e791afc4c3297141b95626687d7a47d8f73b87e206c9147c31680dcbb6e3e8124e578c88ce31d88c46565c297a7d4cf2, af1e369fa657d7cc9f2d45b3e18d6a55cbdf6ab823fcae9b9b0de708aa06d43f416344ac2210e8de2f4e0ca6055ffb489c7639566f1d545220ee33ceb0c077d7]",cd79e9b290ff1250941e7efa4e550c1613939c7eef6ab0f6c486d22a79394fb1f269992aa579bcf707c5d0dd8dfba58bece815d08b643f2f1cd1105bf9fa43ec,"[sitescout.com, doubleclick.net, typography.com, googletagmanager.com, google.com, nflximg.com, googleusercontent.com, linkedin.com, pixel.ad, facebook.net, facebook.com, google-analytics.com, d2ygrtdi28m8fp.cloudfront.net, optimizely.com]"
d7a3ad8b80d3d05253a4a22c97e508c08899c6bfe21e2efbeb8d9daaeebac7474082699ff74b5bf24ebd227858b90a8b769db89c2669d31ae5c92e31515c6104,Chrome|Opera,4/28/2016,16:09:59,Eastern Daylight Time,2,N/A,"[N/A, e28b1843c837e5093267d32d05da4dfff819f5c5554a1695e40671f221de53ed9d487ddc736f78e1e342fe102507fb809f78c9f8f8221e5411623a16e1463cc5, 3f2439eecffaf44ebdb23442b55fb375e791afc4c3297141b95626687d7a47d8f73b87e206c9147c31680dcbb6e3e8124e578c88ce31d88c46565c297a7d4cf2, af1e369fa657d7cc9f2d45b3e18d6a55cbdf6ab823fcae9b9b0de708aa06d43f416344ac2210e8de2f4e0ca6055ffb489c7639566f1d545220ee33ceb0c077d7]",cd79e9b290ff1250941e7efa4e550c1613939c7eef6ab0f6c486d22a79394fb1f269992aa579bcf707c5d0dd8dfba58bece815d08b643f2f1cd1105bf9fa43ec,"[sitescout.com, doubleclick.net, typography.com, googletagmanager.com, google.com, nflximg.com, googleusercontent.com, linkedin.com, pixel.ad, facebook.net, facebook.com, google-analytics.com, d2ygrtdi28m8fp.cloudfront.net, optimizely.com]"
d7a3ad8b80d3d05253a4a22c97e508c08899c6bfe21e2efbeb8d9daaeebac7474082699ff74b5bf24ebd227858b90a8b769db89c2669d31ae5c92e31515c6104,Chrome|Opera,4/29/2016,0:36:22,Eastern Daylight Time,2,N/A,"[8232044b260bbbf74dfe24210a400c1a6bcb46efc8c562bb0a40c869d131380cdced954a51a01dbdce28c76c8a345cd7759f912ce469f0b0c97b6ac6d6cdc856, f9bfec6d1d3cf5866e2724a48a08a6f75471f7e7c5919d0e505af8f297831c591b34fb49211ca5f6ee62ffe1a5ccd5ef68b05645e6bb61a6102edd7c2bd85756, 3f2439eecffaf44ebdb23442b55fb375e791afc4c3297141b95626687d7a47d8f73b87e206c9147c31680dcbb6e3e8124e578c88ce31d88c46565c297a7d4cf2, N/A]",429c5a68a28cf975ebe746881bd3e59ce7f3d22d905e4ccdc6e3094b0ed0214edd88db060743a77dc1c54329530c348507063264e966042e01a3750ca9765c13,"[stgbssint.com]"
d7a3ad8b80d3d05253a4a22c97e508c08899c6bfe21e2efbeb8d9daaeebac7474082699ff74b5bf24ebd227858b90a8b769db89c2669d31ae5c92e31515c6104,Chrome|Opera,4/29/2016,0:36:30,Eastern Daylight Time,2,N/A,"[N/A, e28b1843c837e5093267d32d05da4dfff819f5c5554a1695e40671f221de53ed9d487ddc736f78e1e342fe102507fb809f78c9f8f8221e5411623a16e1463cc5, 3f2439eecffaf44ebdb23442b55fb375e791afc4c3297141b95626687d7a47d8f73b87e206c9147c31680dcbb6e3e8124e578c88ce31d88c46565c297a7d4cf2, af1e369fa657d7cc9f2d45b3e18d6a55cbdf6ab823fcae9b9b0de708aa06d43f416344ac2210e8de2f4e0ca6055ffb489c7639566f1d545220ee33ceb0c077d7]",cd79e9b290ff1250941e7efa4e550c1613939c7eef6ab0f6c486d22a79394fb1f269992aa579bcf707c5d0dd8dfba58bece815d08b643f2f1cd1105bf9fa43ec,"[sitescout.com, doubleclick.net, typography.com, googletagmanager.com, google.com, nflximg.com, googleusercontent.com, linkedin.com, pixel.ad, facebook.net, facebook.com, google-analytics.com, d2ygrtdi28m8fp.cloudfront.net, optimizely.com]"
d7a3ad8b80d3d05253a4a22c97e508c08899c6bfe21e2efbeb8d9daaeebac7474082699ff74b5bf24ebd227858b90a8b769db89c2669d31ae5c92e31515c6104,Chrome|Opera,4/29/2016,15:49:48,Eastern Daylight Time,7,N/A,"[N/A, e28b1843c837e5093267d32d05da4dfff819f5c5554a1695e40671f221de53ed9d487ddc736f78e1e342fe102507fb809f78c9f8f8221e5411623a16e1463cc5, 3f2439eecffaf44ebdb23442b55fb375e791afc4c3297141b95626687d7a47d8f73b87e206c9147c31680dcbb6e3e8124e578c88ce31d88c46565c297a7d4cf2, af1e369fa657d7cc9f2d45b3e18d6a55cbdf6ab823fcae9b9b0de708aa06d43f416344ac2210e8de2f4e0ca6055ffb489c7639566f1d545220ee33ceb0c077d7]",cd79e9b290ff1250941e7efa4e550c1613939c7eef6ab0f6c486d22a79394fb1f269992aa579bcf707c5d0dd8dfba58bece815d08b643f2f1cd1105bf9fa43ec,"[sitescout.com, doubleclick.net, typography.com, googletagmanager.com, google.com, nflximg.com, googleusercontent.com, linkedin.com, pixel.ad, facebook.net, facebook.com, google-analytics.com, d2ygrtdi28m8fp.cloudfront.net, optimizely.com]"
d7a3ad8b80d3d05253a4a22c97e508c08899c6bfe21e2efbeb8d9daaeebac7474082699ff74b5bf24ebd227858b90a8b769db89c2669d31ae5c92e31515c6104,Chrome|Opera,4/29/2016,15:50:38,Eastern Daylight Time,7,N/A,"[N/A, e28b1843c837e5093267d32d05da4dfff819f5c5554a1695e40671f221de53ed9d487ddc736f78e1e342fe102507fb809f78c9f8f8221e5411623a16e1463cc5, 3f2439eecffaf44ebdb23442b55fb375e791afc4c3297141b95626687d7a47d8f73b87e206c9147c31680dcbb6e3e8124e578c88ce31d88c46565c297a7d4cf2, 4a3e7c4da11765d4fa0b104c536bf3e1469c14cd7afe05c250ebf9a429c8acb271d10bcc90f4d72dc11915094e9ec4bf21807e012e9206f9e47aa0ebcbb9ca50]",cd79e9b290ff1250941e7efa4e550c1613939c7eef6ab0f6c486d22a79394fb1f269992aa579bcf707c5d0dd8dfba58bece815d08b643f2f1cd1105bf9fa43ec,"[sitescout.com, doubleclick.net, typography.com, googletagmanager.com, google.com, nflximg.com, googleusercontent.com, linkedin.com, pixel.ad, facebook.net, facebook.com, google-analytics.com, d2ygrtdi28m8fp.cloudfront.net, optimizely.com]"
3cf0c7657d308e1d618120dac54524fd739ba6c260eb3a50b60a5409ef41be754f64025a4a7d43bb5134e401d1ea6228dde134af33590e9aad2ddae4939fe9b3,Chrome|Opera,4/29/2016,20:19:19,Eastern Daylight Time,11,N/A,"[N/A, cb9450457767a13cd4cbdcee28c19f1b3f12eedae9a5173ec7f472079e6b9803899347392062849329671ce825a61ff32640526cafcc73d2a9b32b73dc513a02, 3f2439eecffaf44ebdb23442b55fb375e791afc4c3297141b95626687d7a47d8f73b87e206c9147c31680dcbb6e3e8124e578c88ce31d88c46565c297a7d4cf2, N/A]",427ea98a7677316df2ff85ff3b457763907a309bc0bd151be3444acb447afec4aba1e80b7f7e61c3a54d7aec0ba2b4884ac6869e9d509ec4e72d7cda248a09fe,"[tapad.com, cloudinary.com, atdmt.com, pro-market.net, optimizely.com, viglink.com, ajax.googleapis.com, doubleclick.net, gumgum.com, twitter.com, contentful.com, facebook.com, adnxs.com, nr-data.net, skimresources.com, newrelic.com, extole.io, extole.com, domdex.com, tellapart.com, facebook.net, branch.io, tiqcdn.com, contextweb.com, grubhub.com, seamlessoffers.com, bounceexchange.com, liadm.com, casalemedia.com, google-analytics.com]"
3cf0c7657d308e1d618120dac54524fd739ba6c260eb3a50b60a5409ef41be754f64025a4a7d43bb5134e401d1ea6228dde134af33590e9aad2ddae4939fe9b3,Chrome|Opera,4/29/2016,20:19:47,Eastern Daylight Time,11,"[N/A, cb9450457767a13cd4cbdcee28c19f1b3f12eedae9a5173ec7f472079e6b9803899347392062849329671ce825a61ff32640526cafcc73d2a9b32b73dc513a02, 3f2439eecffaf44ebdb23442b55fb375e791afc4c3297141b95626687d7a47d8f73b87e206c9147c31680dcbb6e3e8124e578c88ce31d88c46565c297a7d4cf2, 39bacb00377336b4f126d1204442a725ff744d74865160902693f9a412de15f623dd4267387b3ae8380d0a7ee8b59efbbf345750ab37f3533058259593368d74]","[N/A, cb9450457767a13cd4cbdcee28c19f1b3f12eedae9a5173ec7f472079e6b9803899347392062849329671ce825a61ff32640526cafcc73d2a9b32b73dc513a02, 3f2439eecffaf44ebdb23442b55fb375e791afc4c3297141b95626687d7a47d8f73b87e206c9147c31680dcbb6e3e8124e578c88ce31d88c46565c297a7d4cf2, a2687c4792a9bca2318f520311ff33da61c65c40505d12435c4272f8e0c8b418063d4d5b9d3670cfdefb9a5827829e622caec7f5e66f3699c5ac5a182a7a509d]",68d05f5d30910b6283658ce6db2fd07877fd8bf811f1e3a30771e715dcbe144037d000ff867bb49395ec9dc0be0585b5c0646416d167b2ea84bd66a5092f2e1e,"[tapad.com, cloudinary.com, atdmt.com, pro-market.net, optimizely.com, viglink.com, ajax.googleapis.com, doubleclick.net, gumgum.com, twitter.com, contentful.com, facebook.com, adnxs.com, nr-data.net, skimresources.com, newrelic.com, extole.io, extole.com, domdex.com, tellapart.com, facebook.net, branch.io, tiqcdn.com, contextweb.com, grubhub.com, seamlessoffers.com, bounceexchange.com, liadm.com, casalemedia.com, google-analytics.com]"
3cf0c7657d308e1d618120dac54524fd739ba6c260eb3a50b60a5409ef41be754f64025a4a7d43bb5134e401d1ea6228dde134af33590e9aad2ddae4939fe9b3,Chrome|Opera,4/29/2016,20:20:04,Eastern Daylight Time,11,"[N/A, cb9450457767a13cd4cbdcee28c19f1b3f12eedae9a5173ec7f472079e6b9803899347392062849329671ce825a61ff32640526cafcc73d2a9b32b73dc513a02, 3f2439eecffaf44ebdb23442b55fb375e791afc4c3297141b95626687d7a47d8f73b87e206c9147c31680dcbb6e3e8124e578c88ce31d88c46565c297a7d4cf2, a2687c4792a9bca2318f520311ff33da61c65c40505d12435c4272f8e0c8b418063d4d5b9d3670cfdefb9a5827829e622caec7f5e66f3699c5ac5a182a7a509d]","[N/A, cb9450457767a13cd4cbdcee28c19f1b3f12eedae9a5173ec7f472079e6b9803899347392062849329671ce825a61ff32640526cafcc73d2a9b32b73dc513a02, 3f2439eecffaf44ebdb23442b55fb375e791afc4c3297141b95626687d7a47d8f73b87e206c9147c31680dcbb6e3e8124e578c88ce31d88c46565c297a7d4cf2, 429e1f4abcb8cdac4d6d2f6e184e33d70898ffef70ebfe55b964b99528fc68073c6ae10e1b96c52842423e3940f8757cce7f939257ea09deac9a97e10e72a0dd]",427ea98a7677316df2ff85ff3b457763907a309bc0bd151be3444acb447afec4aba1e80b7f7e61c3a54d7aec0ba2b4884ac6869e9d509ec4e72d7cda248a09fe,"[tapad.com, cloudinary.com, atdmt.com, pro-market.net, optimizely.com, viglink.com, ajax.googleapis.com, doubleclick.net, gumgum.com, twitter.com, contentful.com, facebook.com, adnxs.com, nr-data.net, skimresources.com, newrelic.com, extole.io, extole.com, domdex.com, tellapart.com, facebook.net, branch.io, tiqcdn.com, contextweb.com, grubhub.com, seamlessoffers.com, bounceexchange.com, liadm.com, casalemedia.com, google-analytics.com]"
3cf0c7657d308e1d618120dac54524fd739ba6c260eb3a50b60a5409ef41be754f64025a4a7d43bb5134e401d1ea6228dde134af33590e9aad2ddae4939fe9b3,Chrome|Opera,4/29/2016,20:20:07,Eastern Daylight Time,11,"[N/A, cb9450457767a13cd4cbdcee28c19f1b3f12eedae9a5173ec7f472079e6b9803899347392062849329671ce825a61ff32640526cafcc73d2a9b32b73dc513a02, 3f2439eecffaf44ebdb23442b55fb375e791afc4c3297141b95626687d7a47d8f73b87e206c9147c31680dcbb6e3e8124e578c88ce31d88c46565c297a7d4cf2, 39bacb00377336b4f126d1204442a725ff744d74865160902693f9a412de15f623dd4267387b3ae8380d0a7ee8b59efbbf345750ab37f3533058259593368d74]","[N/A, cb9450457767a13cd4cbdcee28c19f1b3f12eedae9a5173ec7f472079e6b9803899347392062849329671ce825a61ff32640526cafcc73d2a9b32b73dc513a02, 3f2439eecffaf44ebdb23442b55fb375e791afc4c3297141b95626687d7a47d8f73b87e206c9147c31680dcbb6e3e8124e578c88ce31d88c46565c297a7d4cf2, a2687c4792a9bca2318f520311ff33da61c65c40505d12435c4272f8e0c8b418063d4d5b9d3670cfdefb9a5827829e622caec7f5e66f3699c5ac5a182a7a509d]",68d05f5d30910b6283658ce6db2fd07877fd8bf811f1e3a30771e715dcbe144037d000ff867bb49395ec9dc0be0585b5c0646416d167b2ea84bd66a5092f2e1e,"[tapad.com, cloudinary.com, atdmt.com, pro-market.net, optimizely.com, viglink.com, ajax.googleapis.com, doubleclick.net, gumgum.com, twitter.com, contentful.com, facebook.com, adnxs.com, nr-data.net, skimresources.com, newrelic.com, extole.io, extole.com, domdex.com, tellapart.com, facebook.net, branch.io, tiqcdn.com, contextweb.com, grubhub.com, seamlessoffers.com, bounceexchange.com, liadm.com, casalemedia.com, google-analytics.com]"
3cf0c7657d308e1d618120dac54524fd739ba6c260eb3a50b60a5409ef41be754f64025a4a7d43bb5134e401d1ea6228dde134af33590e9aad2ddae4939fe9b3,Chrome|Opera,4/29/2016,20:20:36,Eastern Daylight Time,11,"[N/A, cb9450457767a13cd4cbdcee28c19f1b3f12eedae9a5173ec7f472079e6b9803899347392062849329671ce825a61ff32640526cafcc73d2a9b32b73dc513a02, 3f2439eecffaf44ebdb23442b55fb375e791afc4c3297141b95626687d7a47d8f73b87e206c9147c31680dcbb6e3e8124e578c88ce31d88c46565c297a7d4cf2, a2687c4792a9bca2318f520311ff33da61c65c40505d12435c4272f8e0c8b418063d4d5b9d3670cfdefb9a5827829e622caec7f5e66f3699c5ac5a182a7a509d]","[N/A, cb9450457767a13cd4cbdcee28c19f1b3f12eedae9a5173ec7f472079e6b9803899347392062849329671ce825a61ff32640526cafcc73d2a9b32b73dc513a02, 3f2439eecffaf44ebdb23442b55fb375e791afc4c3297141b95626687d7a47d8f73b87e206c9147c31680dcbb6e3e8124e578c88ce31d88c46565c297a7d4cf2, 261bc1e3a7ae31bff7d7f6231d34a0d3484f5e12fa88a115347c80a91665d54dc7a6d1fefd2e11c4ae44d7943e506c95a041e8f23bb4867eb89e90970a9980ee]",427ea98a7677316df2ff85ff3b457763907a309bc0bd151be3444acb447afec4aba1e80b7f7e61c3a54d7aec0ba2b4884ac6869e9d509ec4e72d7cda248a09fe,"[tapad.com, cloudinary.com, atdmt.com, pro-market.net, optimizely.com, viglink.com, ajax.googleapis.com, doubleclick.net, gumgum.com, twitter.com, contentful.com, facebook.com, adnxs.com, nr-data.net, skimresources.com, newrelic.com, extole.io, extole.com, domdex.com, tellapart.com, facebook.net, branch.io, tiqcdn.com, contextweb.com, grubhub.com, seamlessoffers.com, bounceexchange.com, liadm.com, casalemedia.com, google-analytics.com]"
